country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
El Salvador,North America,63766,1990.0,61009.0,767.0,35.0,9795,306.0,827129.0,127056.0,6509948
Equatorial Guinea,Africa,6780,101.0,6244.0,435.0,10.0,4721,70.0,106588.0,74226.0,1435990
Eritrea,Africa,3163,8.0,2923.0,232.0,,883,2.0,23693.0,6615.0,3581893
Estonia,Europe,99008,823.0,70913.0,27272.0,52.0,74600,620.0,1103635.0,831562.0,1327183
Ethiopia,Africa,190594,2693.0,149590.0,38311.0,693.0,1629,23.0,2293486.0,19601.0,117010849
Faeroe Islands,Europe,661,1.0,660.0,0.0,,13490,20.0,238640.0,4870403.0,48998
Falkland Islands Malvinas,South America,54,,54.0,0.0,,15198,,7125.0,2005348.0,3553
Fiji,Australia/Oceania,67,2.0,64.0,1.0,,74,2.0,34782.0,38597.0,901153
Finland,Europe,72713,808.0,46000.0,25905.0,55.0,13109,146.0,3813131.0,687426.0,5546973
France,Europe,4313073,92908.0,283507.0,3936658.0,4634.0,65971,1421.0,60773434.0,929564.0,65378416
French Guiana,South America,16764,87.0,9995.0,6682.0,6.0,55100,286.0,153467.0,504419.0,304245
French Polynesia,Australia/Oceania,18595,141.0,4842.0,13612.0,3.0,65920,500.0,26355.0,93429.0,282086
Gabon,Africa,18078,108.0,15654.0,2316.0,33.0,7987,48.0,604841.0,267214.0,2263512
Gambia,Africa,5255,161.0,4875.0,219.0,3.0,2132,65.0,52941.0,21474.0,2465399
Georgia,Asia,278628,3722.0,270922.0,3984.0,,69944,934.0,3196329.0,802373.0,3983597
Germany,Europe,2689205,75708.0,2445300.0,168197.0,3171.0,32023,902.0,47578793.0,566560.0,83978444
Ghana,Africa,89893,734.0,86248.0,2911.0,47.0,2850,23.0,975812.0,30939.0,31540130
Gibraltar,Europe,4271,94.0,4156.0,21.0,1.0,126796,2791.0,207124.0,6149032.0,33684
Greece,Europe,242347,7582.0,207130.0,27635.0,699.0,23334,730.0,6198512.0,596816.0,10385975
Greenland,North America,31,,31.0,0.0,,545,,19792.0,348193.0,56842
Grenada,North America,154,1.0,151.0,2.0,,1364,9.0,23330.0,206641.0,112901
Guadeloupe,North America,10976,165.0,2242.0,8569.0,8.0,27428,412.0,145313.0,363125.0,400174
Guatemala,North America,189067,6730.0,172621.0,9716.0,5.0,10414,371.0,1017017.0,56020.0,18154549
Guinea Bissau,Africa,3586,56.0,2891.0,639.0,16.0,1792,28.0,57210.0,28584.0,2001459
Guinea,Africa,19084,113.0,16132.0,2839.0,24.0,1425,8.0,169784.0,12681.0,13388597
Guyana,South America,9732,218.0,8602.0,912.0,11.0,12330,276.0,83368.0,105622.0,789306
Haiti,North America,12732,251.0,10754.0,1727.0,,1107,22.0,54379.0,4727.0,11503059
Holy See,Europe,27,,15.0,12.0,,33666,,,,802
Honduras,North America,184031,4489.0,69458.0,110084.0,461.0,18369,448.0,497104.0,49619.0,10018342
Hungary,Europe,593710,18952.0,381807.0,192951.0,1423.0,61572,1965.0,4367900.0,452984.0,9642502
Iceland,Europe,6122,29.0,6036.0,57.0,1.0,17856,85.0,525321.0,1532223.0,342849
India,Asia,11734058,160477.0,11205160.0,368421.0,8944.0,8443,115.0,236438861.0,170121.0,1389827226
Indonesia,Asia,1471225,39865.0,1304921.0,126439.0,,5338,145.0,12197872.0,44257.0,275616951
Iran,Asia,1815712,61951.0,1555766.0,197995.0,3865.0,21419,731.0,12221274.0,144169.0,84770256
Iraq,Asia,803041,14066.0,723286.0,65689.0,487.0,19648,344.0,7711323.0,188669.0,40872128
Ireland,Europe,231484,4610.0,23364.0,203510.0,76.0,46504,926.0,3859183.0,775295.0,4977695
Isle Of Man,Europe,1516,26.0,702.0,788.0,12.0,17760,305.0,42077.0,492942.0,85359
Israel,Asia,829832,6131.0,809298.0,14403.0,500.0,90223,667.0,13269408.0,1442705.0,9197590
Italy,Europe,3419616,105879.0,2753083.0,560654.0,3546.0,56619,1753.0,47395288.0,784727.0,60397160
Jamaica,North America,36231,542.0,16490.0,19199.0,40.0,12197,182.0,265742.0,89459.0,2970546
Japan,Asia,457754,8861.0,435361.0,13532.0,320.0,3627,70.0,9374845.0,74289.0,126194675
Jordan,Asia,553727,6077.0,447888.0,99762.0,729.0,53883,591.0,5569435.0,541960.0,10276464
Kazakhstan,Asia,235095,2934.0,212908.0,19253.0,221.0,12413,155.0,8298090.0,438145.0,18939158
Kenya,Africa,123167,2048.0,90586.0,30533.0,135.0,2255,37.0,1425377.0,26094.0,54623954
Kuwait,Asia,221743,1246.0,206180.0,14317.0,238.0,51375,289.0,1985656.0,460048.0,4316194
Kyrgyzstan,Asia,87652,1492.0,84339.0,1821.0,16.0,13277,226.0,822901.0,124646.0,6601888
Laos,Asia,49,,45.0,4.0,,7,,127582.0,17354.0,7351834
Latvia,Europe,98094,1840.0,88322.0,7932.0,68.0,52429,983.0,1776090.0,949285.0,1870977
Lebanon,Asia,444865,5850.0,349223.0,89792.0,990.0,65391,860.0,3427774.0,503848.0,6803188
Lesotho,Africa,10685,314.0,4390.0,5981.0,,4959,146.0,65626.0,30459.0,2154554
Liberia,Africa,2042,85.0,1899.0,58.0,2.0,397,17.0,79684.0,15493.0,5143196
Libya,Africa,153411,2564.0,140420.0,10427.0,,22109,370.0,828207.0,119358.0,6938825
Liechtenstein,Europe,2634,56.0,2542.0,36.0,,68940,1466.0,29848.0,781218.0,38207
Lithuania,Europe,211011,3510.0,195551.0,11950.0,140.0,78311,1303.0,2286679.0,848636.0,2694536
Luxembourg,Europe,59662,726.0,55761.0,3175.0,21.0,94204,1146.0,2324079.0,3669618.0,633330
Macedonia,Europe,120882,3528.0,102201.0,15153.0,124.0,58024,1693.0,595686.0,285932.0,2083312
Madagascar,Africa,22682,361.0,21141.0,1180.0,23.0,804,13.0,136115.0,4826.0,28202571
Malawi,Africa,33323,1099.0,29120.0,3104.0,34.0,1710,56.0,214071.0,10986.0,19485149
Malaysia,Asia,335540,1244.0,319842.0,14454.0,148.0,10272,38.0,7264738.0,222396.0,32665827
Maldives,Asia,22790,66.0,20226.0,2498.0,102.0,41632,121.0,617715.0,1128428.0,547412
Mali,Africa,9474,372.0,6661.0,2441.0,,458,18.0,159785.0,7731.0,20669341
Malta,Europe,28409,375.0,25555.0,2479.0,,64216,848.0,789809.0,1785295.0,442397
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59480
Martinique,North America,7710,49.0,98.0,7563.0,5.0,20557,131.0,118816.0,316798.0,375053
Mauritania,Africa,17658,447.0,16938.0,273.0,14.0,3727,94.0,195184.0,41200.0,4737458
Mauritius,Africa,826,10.0,592.0,224.0,,649,8.0,289552.0,227403.0,1273301
Mayotte,Africa,19224,154.0,2964.0,16106.0,16.0,69263,555.0,147985.0,533185.0,277549
Mexico,North America,2203041,199048.0,1744262.0,259731.0,4798.0,16958,1532.0,5931263.0,45656.0,129913193
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,115896
Moldova,Europe,217715,4623.0,191630.0,21462.0,344.0,54062,1148.0,810434.0,201243.0,4027141
Monaco,Europe,2199,27.0,2030.0,142.0,4.0,55750,685.0,51953.0,1317133.0,39444
Mongolia,Asia,5610,5.0,3947.0,1658.0,22.0,1692,2.0,2145944.0,647070.0,3316403
Montenegro,Europe,88116,1220.0,78990.0,7906.0,69.0,140284,1942.0,325046.0,517487.0,628124
Montserrat,North America,20,1.0,19.0,0.0,,4005,200.0,1093.0,218863.0,4994
Morocco,Africa,492403,8775.0,480100.0,3528.0,268.0,13227,236.0,5882109.0,158006.0,37227017
Mozambique,Africa,66496,750.0,53188.0,12558.0,,2086,24.0,467993.0,14678.0,31883975
Myanmar,Asia,142264,3204.0,131765.0,7295.0,,2602,59.0,2524770.0,46178.0,54674235
Namibia,Africa,42771,498.0,39694.0,2579.0,30.0,16616,193.0,335566.0,130363.0,2574093
Nepal,Asia,276244,3019.0,272097.0,1128.0,,9360,102.0,2245030.0,76065.0,29514801
Netherlands,Europe,1213366,16339.0,,,623.0,70699,952.0,9747836.0,567976.0,17162409
New Caledonia,Australia/Oceania,116,,58.0,58.0,2.0,403,,26871.0,93469.0,287485
New Zealand,Australia/Oceania,2470,26.0,2377.0,67.0,,494,5.0,1861752.0,372194.0,5002100
Nicaragua,North America,6629,177.0,4225.0,2227.0,,992,26.0,,,6681563
Niger,Africa,4939,185.0,4553.0,201.0,1.0,199,7.0,86912.0,3500.0,24833032
Nigeria,Africa,162076,2031.0,148530.0,11515.0,10.0,772,10.0,1727467.0,8233.0,209812698
Norway,Europe,89120,649.0,74332.0,14139.0,48.0,16346,119.0,4404672.0,807906.0,5451958
Oman,Asia,152364,1633.0,139846.0,10885.0,105.0,29301,314.0,1550000.0,298079.0,5199966
Pakistan,Asia,637042,13965.0,586228.0,36849.0,2564.0,2844,62.0,9895515.0,44180.0,223983921
Panama,North America,351667,6060.0,340493.0,5114.0,111.0,80587,1389.0,2085617.0,477935.0,4363810
Papua New Guinea,Australia/Oceania,4109,39.0,846.0,3224.0,,453,4.0,55411.0,6110.0,9069212
Paraguay,South America,198135,3818.0,162879.0,31438.0,424.0,27534,531.0,862540.0,119865.0,7195900
Peru,South America,1481259,50474.0,1397341.0,33444.0,2251.0,44477,1516.0,8810146.0,264539.0,33303771
Philippines,Asia,684311,13039.0,579518.0,91754.0,785.0,6185,118.0,9771681.0,88323.0,110635369
Poland,Europe,2089869,49761.0,1707846.0,332262.0,2537.0,55263,1316.0,11304601.0,298933.0,37816466
Portugal,Europe,818212,16794.0,769086.0,32332.0,159.0,80413,1651.0,8861015.0,870855.0,10175072
Qatar,Asia,174762,275.0,161111.0,13376.0,207.0,62242,98.0,1679713.0,598230.0,2807805
Reunion,Africa,15561,102.0,14064.0,1395.0,57.0,17291,113.0,98785.0,109768.0,899943
Romania,Europe,907007,22442.0,814182.0,70383.0,1367.0,47378,1172.0,7040517.0,367763.0,19144167
Russia,Europe,4483471,96219.0,4098400.0,288852.0,2300.0,30713,659.0,118100000.0,809015.0,145979943
Rwanda,Africa,20975,295.0,19310.0,1370.0,1.0,1591,22.0,1095173.0,83074.0,13183041
Saint Barthelemy,North America,775,1.0,462.0,312.0,,78291,101.0,21651.0,2187191.0,9899
Saint Kitts And Nevis,North America,44,,42.0,2.0,,823,,10591.0,198066.0,53472
Saint Lucia,North America,4149,57.0,3963.0,129.0,2.0,22520,309.0,34927.0,189577.0,184236
Saint Martin,North America,1619,12.0,1399.0,208.0,7.0,41362,307.0,23812.0,608349.0,39142
Saint Pierre And Miquelon,North America,24,,24.0,0.0,,4157,,3729.0,645938.0,5773
Saint Vincent And The Grenadines,North America,1700,10.0,1523.0,167.0,2.0,15288,90.0,39546.0,355642.0,111196
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199370
San Marino,Europe,4432,80.0,3874.0,478.0,11.0,130418,2354.0,50626.0,1489745.0,33983
Sao Tome And Principe,Africa,2159,34.0,1999.0,126.0,,9721,153.0,11592.0,52194.0,222094
Saudi Arabia,Asia,385834,6618.0,375165.0,4051.0,617.0,10960,188.0,14717992.0,418061.0,35205379
Senegal,Africa,37958,1020.0,35179.0,1759.0,34.0,2225,60.0,427226.0,25041.0,17060900
Serbia,Europe,561372,5002.0,473912.0,82458.0,238.0,64439,574.0,3295548.0,378288.0,8711748
Seychelles,Africa,3828,18.0,3205.0,605.0,,38749,182.0,5200.0,52637.0,98789
Sierra Leone,Africa,3949,79.0,2792.0,1078.0,,488,10.0,116448.0,14387.0,8093857
Singapore,Asia,60236,30.0,60063.0,143.0,,10238,5.0,8307697.0,1411989.0,5883682
Sint Maarten,North America,2108,27.0,2060.0,21.0,1.0,48765,625.0,22989.0,531808.0,43228
Slovakia,Europe,352528,9261.0,255300.0,87967.0,683.0,64547,1696.0,2290864.0,419452.0,5461564
Slovenia,Europe,207298,3985.0,192439.0,10874.0,97.0,99703,1917.0,1014046.0,487722.0,2079146
Solomon Islands,Australia/Oceania,18,,16.0,2.0,,26,,4500.0,6438.0,698995
Somalia,Africa,10369,453.0,4564.0,5352.0,,640,28.0,,,16211510
South Africa,Africa,1538961,52251.0,1465204.0,21506.0,546.0,25714,873.0,9665664.0,161500.0,59849395
South Korea,Asia,99846,1707.0,91560.0,6579.0,111.0,1946,33.0,7441210.0,145049.0,51301249
South Sudan,Africa,9919,106.0,9002.0,811.0,1.0,879,9.0,125721.0,11137.0,11288659
Spain,Europe,3234319,73744.0,2992848.0,167727.0,1880.0,69157,1577.0,41884958.0,895591.0,46767941
Sri Lanka,Asia,90765,552.0,87630.0,2583.0,,4226,26.0,2274509.0,105897.0,21478407
State Of Palestine,Asia,228044,2478.0,201675.0,23891.0,205.0,43967,478.0,1374587.0,265020.0,5186734
Sudan,Africa,29542,2003.0,23858.0,3681.0,,663,45.0,,,44585814
Suriname,South America,9074,177.0,8564.0,333.0,2.0,15368,300.0,43939.0,74418.0,590439
Swaziland,Africa,17296,665.0,16101.0,530.0,36.0,14797,569.0,169393.0,144922.0,1168859
Sweden,Europe,758335,13315.0,,,272.0,74750,1312.0,6627544.0,653286.0,10144928
Switzerland,Europe,586096,10247.0,537671.0,38178.0,159.0,67364,1178.0,5720475.0,657488.0,8700495
Syria,Asia,17743,1183.0,11794.0,4766.0,,996,66.0,,,17806368
Taiwan,Asia,1009,10.0,969.0,30.0,,42,,459223.0,19256.0,23848089
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1373,9.0,,,9691828
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,60955194
Thailand,Asia,28346,92.0,26873.0,1381.0,1.0,405,1.0,8014926.0,114618.0,69927173
Timor Leste,Asia,351,,124.0,227.0,,263,,36580.0,27369.0,1336548
Togo,Africa,9147,105.0,7341.0,1701.0,,1087,12.0,263543.0,31306.0,8418308
Trinidad And Tobago,North America,7865,141.0,7573.0,151.0,2.0,5607,101.0,108872.0,77612.0,1402778
Tunisia,Africa,246507,8610.0,213505.0,24392.0,265.0,20701,723.0,1070249.0,89876.0,11908127
Turkey,Asia,3061520,30316.0,2863882.0,167322.0,1710.0,36020,357.0,36768437.0,432591.0,84995840
Turks And Caicos Islands,North America,2307,17.0,2174.0,116.0,2.0,59009,435.0,20896.0,534479.0,39096
Uganda,Africa,40719,334.0,15139.0,25246.0,,871,7.0,922290.0,19717.0,46776043
UK,Europe,4307304,126284.0,3712658.0,468362.0,748.0,63208,1853.0,117279577.0,1721037.0,68144696
Ukraine,Europe,1579906,30773.0,1276272.0,272861.0,177.0,36284,707.0,7778231.0,178636.0,43542330
United Arab Emirates,Asia,444398,1451.0,427188.0,15759.0,,44543,145.0,35785791.0,3586890.0,9976830
Uruguay,South America,86007,827.0,70372.0,14808.0,202.0,24697,237.0,1254856.0,360335.0,3482469
USA,North America,30636534,556883.0,23039585.0,7040066.0,8643.0,92165,1675.0,392235568.0,1179974.0,332410303
Uzbekistan,Asia,81678,623.0,80045.0,1010.0,23.0,2415,18.0,1377915.0,40743.0,33819643
Vanuatu,Australia/Oceania,3,,1.0,2.0,,10,,470.0,1505.0,312308
Venezuela,South America,152508,1511.0,141260.0,9737.0,162.0,5374,53.0,3044649.0,107292.0,28377307
Viet Nam,Asia,2575,35.0,2246.0,294.0,,26,,2598753.0,26525.0,97972891
Wallis And Futuna Islands,Australia/Oceania,329,2.0,18.0,309.0,4.0,29653,180.0,1331.0,119964.0,11095
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,607898
Yemen,Asia,3612,785.0,1566.0,1261.0,23.0,119,26.0,17544.0,579.0,30298855
Zambia,Africa,86779,1185.0,83478.0,2116.0,116.0,4627,63.0,1206254.0,64321.0,18753512
Zimbabwe,Africa,36717,1516.0,34447.0,754.0,13.0,2445,101.0,366902.0,24429.0,15019234
